Mosque,Latitude,Longitude,Address,Address2,City,County,State,Zip,Number,Website,Primary Ethnicity,Preceded by,Incorporation Date,Opening Date,Relocation Date,Dissolution Date,OpenDate,CloseDate,Odate,Cdate,z,TimeOpen,Link ,AlbumID,LocationID,isHistoric,Founding Members,History,Description,Photos (exterior),Photos (interior),Photos (people),Video(s),Article(s)
Muhammad's Temple #1 (Historic),42.35054,-83.048,3408 Hastings Street,,Detroit,Wayne County,MI,48226,,,,,1932,,1957,,1932,N/A,1932,2019,190,870,,,133,1,,"This temple was a former hall located above the entrance to the Castle Theatre, variously identified as the  ""former McPherson hall"" or ""Castle Hall.""  This is where Elijah Muhammad established the first home of the Nation of Islam in 1932.  The University of Islam was also opened here in 1934.  The building served as the headquarters of the movement in Detroit until 1957 when it was razed to make way for the Chrysler Freeway.  The community then moved to its present home on Linwood Avenue.  (See Masjid Wali Muhammad.)  The space was originally referred to as Temple No. 1 of the Order of Islam.",,,,,,
"Muslim Brotherhood, U.S.A. (Historic)",42.3758,-83.0991,9031 12th Street,,Detroit,Wayne County,MI,48206,,,African American,,1959,,,1970,1959,1970,1959,1970,460,110,,,134,1,Imam Dawud Ahmad (Denison Echols),"The Detroit congregation of the Muslim Brotherhood, U.S.A. (an Ahmadiyya affiliate) was established in 1959 by Imam Dawud Ahmad (Denison Echols).  Imam Dawud would have been connected to, or could have been an alias of, Imam Talib Ahmad Dawud, the one time husband of Dakotata Staton (Aliyah Rabia).",,,,,,
Muslim Community Center of Detroit (Historic),42.39891,-82.9599,5307 Marlborough Street,,Detroit,Wayne County,MI,48224,,,,,,,,,,N/A,,2019,,,,,135,1,,,,,,,,
New Bagdad Cafe (Historic,42.35632,-83.0518,1002 Hastings Street,,Detroit,Wayne County,MI,48226,,,,,1930's,,,1940,1930,1940,1930,1940,170,100,,,136,1,,Arab Coffee Shop were worship services were held in the 1930's.,,,,,,
New Masjid and Islamic Education Center,42.4182,-83.2369,17346 Plainview,,Detroit,Wayne County,,48219,,,,,1994,,,1997,1994,1997,1994,1997,810,30,,,137,1,"Dawud Alim, Sahirah Muhammad, Osman Almanza, Sr.",,,,,,,
"New Mosque/School Building Fund, Inc. (Masjid Wali Muhammads' Project 90'S, Inc.)",42.42288,-83.1401,18011 Warrington,,Detroit,Wayne County,,48221,,,African American,,1990,,,1998,1990,1998,1990,1998,770,80,,,138,1,"Baheejah Shakoor, Dorothy Pasha, Numan Abdulmujees, Naim Muslim Sabir, Mujahid Malik-ul-Mule",,,,,,,
"New Oriental Hall (Universal Islamic Society) (Historic, 1926)",42.35632,-83.0518,1941 Hastings Street,,Detroit,Wayne County,MI,48226,,,,,1925 or 1926?,,,1940,1925,1940,1925,1940,120,150,,,139,1,"President: Duse Mohammed Ali; effendi Vice-President: Shah Zain ul Abedin; Incorporators: Joseph Ferris, 1407 Sherman, Detroit, MI; S.Z. Abedian, 1407 Sherman, Detroit, MI; Kallil Zhidy, 1407 Sherman, Detroit, MI; Mohamid Aiddora, 1407 Sherman, Detroit, MI; A.W. Ahmed, 1407 Sherman, Detroit, MI.","The purpose of the church shall be for religious and benevolent services.  The group was incorporated on October 12, 1925.  Duse Ali's name is not listed in the incorporation papers.  Universal Islamic Society sponsored a united Eid al Fitr with both Sunni and Shia at the New Oriental Hall at this Hastings Street address on April 13, 1926.  The Detroit News was on hand to cover the story and mentions that Sheikh Kalil Bazzy led the prayer.",,,,,,
Progressive Arabian Hashemite Society (Hashemite Hall) (Historic),42.30307,-83.1461,10401 Dix Avenue,,Dearborn,Wayne County,MI,48120,,,,,1936,,,1970's,1936,1970,1936,1970,230,340,,,140,1,"Kaid Lahage (Detroit), Aly Harb (Dearborn), Mohamed Forge (Dearborn), and Ollie Samhat (Highland Park)","""The Progressive Arabian Hashmite Society"" incorporated with the state in July of 1936.  The group quickly set about purchasing and renovating the above address and celebrated the grand opening and dedication of the mosque under the name, Progressive Arabian Hashemite Society on May 30, 1937.  The Hashemite Society rented space in this former bank until they were able to purchase the building in 1939.  The building was used primarily as a social club, but also as a mosque and Sunday school on and off until it was eclipsed by the Islamic Center of America which opened in 1963.  The building burned down in the 1970's.",,,,,,
Sacred Mosque (Historic),42.39084,-83.0956,201 Tuxedo Street,,Highland Park,Wayne County,MI,48203,,,,,1987,,,1997,1987,1997,1987,1997,740,100,,,141,1,,"Incorporated in 1987 and disbanded in 1997, this mosque was associated with the Nation of Islam.",,,,,,
Turkish and Albanian Meeting House (Historic),42.34871,-83.0496,588 St. Antoine Street,,Detroit,Wayne County,MI,48226,,,Arab,,,,,1960,,1960,,1960,,,,,142,1,,In both 1932 and 1937 Turkish and Albanian Muslims met to celebrate Eid al-Fitr at this coffee house (according to newspaper accounts of the time).,,,,,,
Turkish Crescent Association,42.3098,-83.15,3048 Salina,,Dearborn,Wayne County,MI,48120,,,,,1950's,,,,1950,N/A,1950,2019,370,690,,,143,1,,This association shows up in Dearborn City Directories from the 1950's.,,,,,,
United Citizen's Society/Moslem Mosque of Highland Park (Historic),42.40763,-83.0944,97 Victor Avenue,,Highland Park,Wayne County,MI,48203,,,,,1937 or 1958?,,,,1937,N/A,1937,2019,240,820,,,144,1,,"The United Syrian Citizen's Society purchased this building in 1937 for the establishment of a mosque.  In the 1940's and 50's the building was used for occasional lectures and other education activities, such as Arabic and Quranic classes.  It is unclear when the group took the name Moslem Mosque of Highland Park, but this name was photographed in 1956 by the Detroit Free Press. The group incorporated in March 1958, as a ""Moslem church"" with a charter from Islamic Center, Washington D.C.. The incorporation provisions make several points, 1. That the group is to be non-sectarian, 2. That it hopes to buy, rent, or build a ""mosque"".  Nonetheless, the group's membership was Shi'a and was closely connected to the Progressive Arabian Hashemite Society in Dearborn.  Incorporating members included Mike Hamzey, Allia Agemy, Hussein Alli Hamood, Mustafa Salem, Mustafa Hayime, Abdul Beryy, Charles Allie, and Mohammed Berry.  All but Mr. Berry lived in Highland Park.  Berry lived on Electric Street in Detroit.  In 1963, Hussein Hamood became the registered agent, and in 1964, Kamal Nasser became the agent.  Shortly after this, the group folded their books into those of the Islamic Center of America (Detroit) in exchange for a position or two on the ICD's board of directors.  The building was sold and the proceeds given to the ICD.",,,,,,
"Universal Consolidation of Islam, Holy Mosque (Historic)",42.35188,-83.0992,5683 Maybury Grand,,Detroit,Wayne County,MI,48208,,,African American,,1964,,,1977,1964,1977,1964,1977,510,130,,,145,1,"Hajj Sammsan, Imam, Gwendoline Sammsan and Anas Hassan","At this address, the home of Imam Sammsan, the Universal Consolidation of Islam, Holy Mosque, was incorporated in 1964.  A number of African American Muslims prayed here in the 1960's.  The group's articles of incorporation disassociate them from ""Black Muslims"", Communists, and other ""cults"" and assert that Islam is ""not prejudiced towards races, colors, language, or national origin"".  In addition to Hajj Sammsan, Imam, Gwendoline Sammsan and Anas Hassan are listed as incorporating members.  The group was dissolved in 1977.",,,,,,
Tijani Zawiya,42.43229,-83.1414,19174 Livernois Avenue,,Detroit,Wayne County,MI,48221,,,,,,,,,,N/A,,2019,,,,,146,1,,,,,,,,
"AAUAA (Historic, 1940's)",42.3841,-83.0695,986 King Street,,Detroit,Wayne County,MI,48211,,,,,,,,,,N/A,,2019,,,,,147,1,,Location of the Addenu Allahe Universal Arabic Association - Detroit,,,,,,
